subj item timing focus dist resp
B12 28 spr foc dist 100
B12 39 spr foc close 100
B12 25 spr unf close 100
B12 32 spr foc dist 100
B12 33 spr unf close 100
B12 37 spr unf close 100
B13 49 spr unf close 100
B13 31 spr foc close 100
B13 48 spr foc dist 100
B13 35 spr foc close 100
B13 37 spr unf close 0
B13 32 spr foc dist 100
B13 39 spr foc close 100
B13 45 spr unf close 0
B13 47 spr foc close 0
B13 52 spr foc dist 100
B13 29 spr unf close 0
B13 25 spr unf close 100
B13 38 spr unf dist 100
B13 28 spr foc dist 100
B13 41 spr unf close 100
B13 44 spr foc dist 100
B13 26 spr unf dist 100
B13 30 spr unf dist 100
B13 27 spr foc close 100
B13 40 spr foc dist 100
B13 33 spr unf close 100
B13 36 spr foc dist 100
B13 46 spr unf dist 100
B13 50 spr unf dist 100
B13 42 spr unf dist 100
B13 34 spr unf dist 100
B13 51 spr foc close 100
B13 43 spr foc close 100
B14 34 spr unf dist 100
B14 39 spr foc close 100
B14 42 spr unf dist 100
B14 41 spr unf close 100
B14 26 spr unf dist 100
B14 48 spr foc dist 100
B14 45 spr unf close 100
B14 46 spr unf dist 100
B14 38 spr unf dist 100
B14 30 spr unf dist 100
B14 40 spr foc dist 100
B14 37 spr unf close 100
B14 28 spr foc dist 100
B14 27 spr foc close 100
B14 31 spr foc close 100
B14 36 spr foc dist 100
B14 32 spr foc dist 100
B14 35 spr foc close 100
B14 29 spr unf close 0
B14 52 spr foc dist 100
B14 25 spr unf close 100
B14 33 spr unf close 100
B14 51 spr foc close 100
B14 47 spr foc close 100
B14 44 spr foc dist 100
B14 50 spr unf dist 0
B14 49 spr unf close 100
B14 43 spr foc close 0
B15 35 spr foc close 0
B15 33 spr unf close 100
B15 39 spr foc close 0
B15 38 spr unf dist 100
B15 48 spr foc dist 100
B15 27 spr foc close 100
B15 45 spr unf close 100
B15 51 spr foc close 100
B15 37 spr unf close 100
B15 43 spr foc close 100
B15 49 spr unf close 100
B15 28 spr foc dist 100
B15 26 spr unf dist 100
B15 30 spr unf dist 100
B15 34 spr unf dist 100
B15 50 spr unf dist 100
B15 32 spr foc dist 100
B15 40 spr foc dist 0
B15 52 spr foc dist 100
B15 25 spr unf close 100
B15 41 spr unf close 100
B15 44 spr foc dist 100
B15 47 spr foc close 100
B15 42 spr unf dist 0
B15 31 spr foc close 100
B15 46 spr unf dist 100
B15 36 spr foc dist 100
B15 29 spr unf close 100
B16 31 spr foc dist 100
B16 37 spr unf dist 100
B16 25 spr unf dist 100
B16 33 spr unf dist 0
B16 32 spr unf close 100
B16 39 spr foc dist 100
B16 27 spr foc dist 100
B16 28 spr unf close 0
B16 34 spr foc close 100
B16 26 spr foc close 100
